MISPAR RECHEV|TAARICH HAFAKAT TAG|SUG TAV
1048650|20190826|1
1048761|20190826|1
1048785|20170716|1
1048810|20190826|1
1048860|20190812|1
1048879|20171207|1
1048932|20191231|2
1048960|20190826|1
1048966|20191028|1
1049060|20190826|1
1049071|20190515|2
1049176|20180515|1
1049184|20190826|1
1049314|20190826|1
1049334|20190826|1
1049552|20170509|1
1049561|20190826|1
1049562|20190826|1
1049564|20170108|1
1049638|20190826|1
1049676|20180822|1
1049687|20190729|1
1049737|20190826|1
1049738|20190826|1
1049779|20191118|1
1049832|20190826|1
1049868|20200105|1
1049871|20191125|1
1049878|20191028|1
1049887|20190826|1
1050034|20191110|1
1050137|20190826|1
1050262|20190618|1
1050411|20190826|1
1050437|20190805|1
1050466|20170927|1
1050564|20190723|1
1050585|20190818|2
1050637|20191222|1
1050656|20191201|1
1050664|20190705|1
1050752|20180701|1
1050784|20200107|1
1050837|20190530|1
1050862|20180812|1
1050868|20190826|2
1050872|20190922|1
1050961|20191107|2
1050968|20191027|1
1051032|20191125|1
1051056|20191217|1
1051064|20191128|1
1051068|20190818|1
1051133|20180828|1
1051156|20190826|1
1051237|20200105|1
1051261|20170308|1
1051332|20190826|2
1051360|20190702|1
1051460|20190826|1
1051461|20190826|1
1051484|20190826|1
1051487|20190826|1
1051550|20191104|1
1051567|20191125|1
1051638|20190826|1
1051673|20190826|1
1051787|20190826|1
1051866|20190826|1
1051874|20190716|1
1051911|20190210|1
1051960|20180312|1
1051962|20190324|1
1052072|20190717|1
1052238|20190826|2
1052333|20190826|1
1052373|20190826|1
1052437|20190826|1
1052517|20200109|1
1052556|20190826|1
1052631|20190826|1
1052766|20190924|1
1052832|20191118|1
1052837|20190826|1
1052864|20180220|1
1052866|20191117|1
1052976|20190826|1
1052979|20190826|1
1053038|20190826|1
1053060|20180318|1
1053267|20190826|1
1053276|20180425|1
1053360|20190826|1
1053484|20191218|1
1053511|20191222|1
1053560|20190826|1
1053568|20191225|1
1053768|20190826|1
1053787|20191212|1
1053866|20190901|1
1053873|20171101|1
